stone_id,lab,active,reserved,reserved_till,carat,buy_price_per_carat,buy_price_total,shape,color,clarity,cut,polish,symmetry,flu,length,width,height,ratio,depth,table,origin,milky,shade,eye_clean,grading_url,video_url,sku_url,sku_url_2,sku_url_3,country,natural_diamond,estimated_delivery,updated_on
01-09701724,GIA,1,0,0,0.740,2032.26,1503.87,BR,H,VS1,EX,EX,EX,NON,5.7300,5.7700,3.5800,0.99,62.2%,59%,Angola,"No Milky",None,,,http://sl.customersapi.local.coolwebcode.com/vision/detail.php?d=9701724&surl=https://d305ukokfjetib.cloudfront.net/2024/12/9/grabber/imaged/13462110,https://d305ukokfjetib.cloudfront.net/2024/12/9/grabber/imaged/13462110/still.jpg,https://d305ukokfjetib.cloudfront.net/2024/12/9/grabber/imaged/13462110/default.jpg,https://d305ukokfjetib.cloudfront.net/2024/12/9/grabber/imaged/13462110/heart.jpg,India,1,"5-7 days",1734568536
01-09715473,GIA,1,0,0,0.700,1650.54,1155.38,BR,H,VS2,EX,EX,EX,NON,5.7100,5.7600,3.5000,0.99,61%,60%,Angola,"No Milky",None,,,http://sl.customersapi.local.coolwebcode.com/vision/detail.php?d=9715473&surl=https://d305ukokfjetib.cloudfront.net/2024/12/11/grabber/imaged/13488267,https://d305ukokfjetib.cloudfront.net/2024/12/11/grabber/imaged/13488267/still.jpg,https://d305ukokfjetib.cloudfront.net/2024/12/11/grabber/imaged/13488267/default.jpg,https://d305ukokfjetib.cloudfront.net/2024/12/11/grabber/imaged/13488267/heart.jpg,India,1,"5-7 days",1734568537
01-09230934,GIA,1,0,0,0.750,2563.83,1922.87,BR,G,IF,EX,EX,EX,NON,5.7600,5.7900,3.6100,0.99,62.6%,57%,DTC,"No Milky",None,,,http://sl.customersapi.local.coolwebcode.com/vision/detail.php?d=9230934&surl=https://d305ukokfjetib.cloudfront.net/2024/10/18/grabber/imaged/12732463,https://d305ukokfjetib.cloudfront.net/2024/10/18/grabber/imaged/12732463/default.jpg,https://d305ukokfjetib.cloudfront.net/2024/10/18/grabber/imaged/12732463/heart.jpg,https://d305ukokfjetib.cloudfront.net/2024/10/18/grabber/imaged/12732463/arrow.jpg,"United States",1,"1-2 days",1734568537
01-09605905,GIA,1,0,0,0.590,2397.85,1414.73,BR,F,VVS1,EX,EX,EX,NON,5.3700,5.3900,3.2900,1.00,61.1%,60%,Angola,"No Milky",None,,,http://sl.customersapi.local.coolwebcode.com/vision/detail.php?d=9605905&surl=https://d305ukokfjetib.cloudfront.net/2024/11/20/grabber/imaged/13257138,https://d305ukokfjetib.cloudfront.net/2024/11/20/grabber/imaged/13257138/still.jpg,https://d305ukokfjetib.cloudfront.net/2024/11/20/grabber/imaged/13257138/default.jpg,https://d305ukokfjetib.cloudfront.net/2024/11/20/grabber/imaged/13257138/heart.jpg,India,1,"5-7 days",1734568537
01-09052597,GIA,1,0,0,0.700,1962.37,1373.66,BR,E,VS2,EX,EX,EX,NON,5.6300,5.6800,3.5300,0.99,62.3%,57%,,"No Milky",None,,,http://sl.customersapi.local.coolwebcode.com/vision/detail.php?d=9052597&surl=https://d305ukokfjetib.cloudfront.net/2024/10/2/grabber/imaged/12449672,https://d305ukokfjetib.cloudfront.net/2024/10/2/grabber/imaged/12449672/still.jpg,https://d305ukokfjetib.cloudfront.net/2024/10/2/grabber/imaged/12449672/default.jpg,https://d305ukokfjetib.cloudfront.net/2024/10/2/grabber/imaged/12449672/heart.jpg,India,1,"5-7 days",1734568537
01-09746784,GIA,1,0,0,0.900,3634.41,3270.97,BR,G,VVS2,EX,EX,EX,NON,6.1100,6.1500,3.8300,0.99,62.5%,57%,Botswana,"No Milky",None,,,http://sl.customersapi.local.coolwebcode.com/vision/detail.php?d=9746784&surl=https://d305ukokfjetib.cloudfront.net/2024/12/18/grabber/imaged/13557488,https://d305ukokfjetib.cloudfront.net/2024/12/18/grabber/imaged/13557488/default.jpg,https://d305ukokfjetib.cloudfront.net/2024/12/18/grabber/imaged/13557488/heart.jpg,https://d305ukokfjetib.cloudfront.net/2024/12/18/grabber/imaged/13557488/arrow.jpg,India,1,"5-7 days",1734568537
01-09746781,GIA,1,0,0,0.700,2005.37,1403.76,BR,H,VS1,EX,EX,EX,NON,5.8000,5.8400,3.4700,0.99,59.6%,60%,"South Africa","No Milky",None,,,http://sl.customersapi.local.coolwebcode.com/vision/detail.php?d=9746781&surl=https://d305ukokfjetib.cloudfront.net/2024/12/18/grabber/imaged/13557485,https://d305ukokfjetib.cloudfront.net/2024/12/18/grabber/imaged/13557485/default.jpg,https://d305ukokfjetib.cloudfront.net/2024/12/18/grabber/imaged/13557485/heart.jpg,https://d305ukokfjetib.cloudfront.net/2024/12/18/grabber/imaged/13557485/arrow.jpg,India,1,"5-7 days",1734568537
01-09746790,GIA,1,0,0,0.560,1516.13,849.03,BR,H,VS1,EX,EX,EX,NON,5.3600,5.4000,3.2400,0.99,60.3%,60%,Angola,"No Milky",None,,,http://sl.customersapi.local.coolwebcode.com/vision/detail.php?d=9746790&surl=https://d305ukokfjetib.cloudfront.net/2024/12/18/grabber/imaged/13557494,https://d305ukokfjetib.cloudfront.net/2024/12/18/grabber/imaged/13557494/default.jpg,https://d305ukokfjetib.cloudfront.net/2024/12/18/grabber/imaged/13557494/heart.jpg,https://d305ukokfjetib.cloudfront.net/2024/12/18/grabber/imaged/13557494/arrow.jpg,India,1,"5-7 days",1734568538
01-09631839,GIA,1,0,0,0.700,1919.36,1343.55,BR,G,VS2,EX,EX,EX,NON,5.6100,5.6600,3.5200,0.99,62.5%,58%,Angola,"No Milky",None,,,http://sl.customersapi.local.coolwebcode.com/vision/detail.php?d=9631839&surl=https://d305ukokfjetib.cloudfront.net/2024/11/25/grabber/imaged/13311843,https://d305ukokfjetib.cloudfront.net/2024/11/25/grabber/imaged/13311843/still.jpg,https://d305ukokfjetib.cloudfront.net/2024/11/25/grabber/imaged/13311843/default.jpg,https://d305ukokfjetib.cloudfront.net/2024/11/25/grabber/imaged/13311843/heart.jpg,India,1,"5-7 days",1734568538

